year_month,country_code,gdp_growth_yoy,cpi_yoy,data_traffic_index,ott_substitution_index,travel_index,ecommerce_index,mobile_penetration,price_pressure_index
2019-01,AT,1.8875,1.8692,99.7435,100.1707,101.0721,97.9239,1.4192,100.1224
2019-02,AT,2.3332,2.1214,101.0649,100.498,97.1902,101.5951,1.4222,99.7343
2019-03,AT,1.9231,2.0684,102.7181,99.6527,97.2977,100.3544,1.4252,101.4962
2019-04,AT,2.1477,1.7767,103.0192,100.7339,97.2524,102.228,1.4296,100.8482
2019-05,AT,1.9722,1.642,105.867,100.7078,97.3586,103.2536,1.4302,102.3865
2019-06,AT,1.3994,1.2312,108.6938,102.8663,95.8972,103.9768,1.4322,101.8905
2019-07,AT,1.4749,0.9092,108.9215,103.8641,99.5187,105.7887,1.433,103.1503
2019-08,AT,1.2879,1.0931,109.9349,105.5954,97.9186,104.8868,1.4318,103.7645
2019-09,AT,1.373,1.1881,114.7325,104.7263,96.8675,107.7298,1.4335,104.8554
2019-10,AT,1.2699,1.2802,116.3812,105.5828,97.5192,106.7978,1.4325,104.8629
2019-11,AT,1.4194,0.8038,118.8519,105.9357,99.3556,127.6281,1.4341,103.0885
2019-12,AT,1.214,0.5553,122.1564,107.4207,101.2938,124.369,1.4324,104.6748
2020-01,AT,1.4082,0.2443,122.6368,108.2692,102.4925,112.0062,1.4353,103.2422
2020-02,AT,0.8028,0.0081,125.0397,108.485,95.8399,113.3499,1.4375,102.6778
2020-03,AT,-3.0797,0.121,129.4915,108.2447,44.8477,126.7392,1.4364,102.6136
2020-04,AT,-7.939,0.3011,145.4423,109.37,9.1046,144.3151,1.4388,102.4106
2020-05,AT,-12.5742,0.16,148.2945,110.5686,11.4198,158.2849,1.4405,102.0325
2020-06,AT,-11.2996,0.4842,150.4773,110.277,13.7705,157.2824,1.4432,103.5489
2020-07,AT,-10.7128,0.6024,152.9231,111.0694,26.7041,157.7572,1.4435,106.239
2020-08,AT,-9.2338,0.6968,155.704,110.7088,37.5868,159.3846,1.4451,108.2267
2020-09,AT,-8.0257,0.8761,158.4573,111.5329,31.1608,157.9879,1.4476,108.469
2020-10,AT,-6.8698,0.8593,161.0557,112.6165,23.9493,156.7555,1.4488,107.023
2020-11,AT,-5.5982,0.6584,164.5325,112.3922,21.5934,185.2472,1.4502,105.5004
2020-12,AT,-3.9889,0.8752,167.6224,113.2591,20.4418,177.9985,1.4521,105.4426
2021-01,AT,-2.6897,1.1319,169.3793,114.0881,18.2854,163.4548,1.4547,104.9562
2021-02,AT,-0.8031,1.7406,177.7939,114.6184,16.5289,160.9856,1.4541,105.3234
2021-03,AT,1.4142,2.1623,177.3424,117.0811,21.4901,160.3509,1.4531,107.415
2021-04,AT,3.4952,2.722,187.2031,117.1427,26.6425,156.6442,1.4532,107.9514
2021-05,AT,6.0943,2.9509,187.4317,116.1291,31.1277,159.2771,1.4523,109.6034
2021-06,AT,8.4915,3.1866,192.0307,117.6252,40.6922,160.2502,1.4533,110.5021
2021-07,AT,8.118,3.3541,192.9258,119.6507,50.9319,161.3524,1.4546,109.3477
2021-08,AT,7.8473,3.7579,195.204,120.2216,62.7521,160.1816,1.4576,109.317
2021-09,AT,7.4333,4.1013,197.8687,120.0011,59.8171,157.0758,1.461,107.9836
2021-10,AT,6.0036,4.4897,199.7464,122.2169,57.254,156.9376,1.4614,109.1368
2021-11,AT,5.5296,4.6462,202.9297,123.0128,54.4102,185.5934,1.4616,109.6197
2021-12,AT,5.0176,5.1055,211.8562,125.1273,59.2351,178.2053,1.4641,108.7036
2022-01,AT,4.8885,5.6655,216.9239,124.4176,64.8277,163.8992,1.4652,108.9576
2022-02,AT,3.9878,6.3395,224.3417,125.584,67.4672,160.4051,1.4697,108.6901
2022-03,AT,3.8484,7.073,225.5167,127.3278,75.2656,159.0122,1.4752,110.0634
2022-04,AT,3.4677,7.9332,230.3973,127.432,83.6756,159.8928,1.4768,108.7906
2022-05,AT,2.9362,8.2759,235.134,130.169,88.6308,159.9541,1.4763,109.9036
2022-06,AT,3.0674,8.6307,242.3751,130.9591,96.8876,164.3854,1.4732,112.252
2022-07,AT,3.2943,8.9905,250.1615,133.4347,97.9686,166.1278,1.4739,113.1802
2022-08,AT,3.1043,9.7382,255.9848,134.7434,96.5484,164.4701,1.4773,112.8173
2022-09,AT,2.716,10.1823,260.3682,136.086,101.2754,167.9638,1.4804,115.2458
2022-10,AT,2.5666,10.5118,264.221,136.4409,103.297,165.1237,1.4792,113.1044
2022-11,AT,1.9098,10.0309,266.5225,138.5557,102.6859,194.2257,1.483,113.1399
2022-12,AT,1.3829,9.2439,267.3666,140.323,103.2792,187.1503,1.4817,112.6416
2023-01,AT,1.3111,8.6527,276.9141,138.8535,105.9392,171.1081,1.4865,112.6178
2023-02,AT,1.0521,8.2445,281.2023,138.7689,106.6918,169.9579,1.4876,110.5867
2023-03,AT,1.3256,7.566,288.0453,140.5671,105.3126,169.8024,1.486,110.1919
2023-04,AT,0.5944,6.802,297.4721,141.8732,107.4475,170.0585,1.4879,110.6025
2023-05,AT,0.4595,6.3982,304.2813,141.1679,109.7452,167.7463,1.4923,113.3028
2023-06,AT,0.2283,5.8442,306.135,142.1775,109.0368,172.8688,1.493,116.1701
2023-07,AT,0.1198,5.8301,310.312,141.1049,107.9249,175.3184,1.4909,115.1452
2023-08,AT,0.121,5.5973,310.9174,143.1017,103.2639,177.065,1.4882,115.569
2023-09,AT,0.1383,4.7144,324.7581,142.7394,103.6232,175.7123,1.49,113.9352
2023-10,AT,0.0326,4.1513,324.0763,145.0649,105.2135,176.2251,1.4908,113.6765
2023-11,AT,-0.3546,3.4885,330.0172,146.3125,110.2725,207.2502,1.4963,115.2376
2023-12,AT,-0.3427,3.0311,336.4847,145.7644,112.8656,195.8556,1.5031,116.1504
2024-01,AT,0.1613,2.6886,343.9711,148.0786,111.1304,183.0881,1.5038,115.2306
2024-02,AT,0.3265,2.8715,352.8541,149.4917,116.372,185.2751,1.5031,115.5435
2024-03,AT,0.6929,2.5518,358.6012,149.5074,111.4905,183.6067,1.5045,116.5629
2024-04,AT,1.1944,2.3477,368.1582,151.5629,113.9849,188.0372,1.5071,118.3078
2024-05,AT,1.9361,2.0634,375.9513,149.8875,111.3429,188.6274,1.508,116.0878
2024-06,AT,1.7779,2.3081,391.9954,152.5947,113.187,184.7194,1.5055,115.2141
2024-07,AT,1.8024,2.3887,396.5472,155.2596,112.9677,186.9399,1.5076,115.1712
2024-08,AT,1.0911,2.3901,404.615,157.7363,119.899,193.2327,1.5069,116.5492
2024-09,AT,1.4532,2.191,419.0616,157.5124,121.1952,193.611,1.5088,117.0385
2024-10,AT,1.6432,2.1524,423.1484,158.5572,124.2433,196.0742,1.5111,117.097
2024-11,AT,1.4339,1.9449,433.7821,159.913,122.1181,237.3882,1.5112,116.5578
2024-12,AT,1.7448,1.7451,427.9026,158.7143,120.5037,226.5906,1.5151,116.72
2025-01,AT,1.7065,2.0354,435.8729,159.9883,119.3266,209.5754,1.5136,117.6482
2025-02,AT,1.5248,2.2344,439.9163,161.5152,118.5646,211.6274,1.5195,118.0994
2025-03,AT,1.7311,2.1297,447.3378,161.3945,117.5434,217.1424,1.5214,119.2592
2025-04,AT,1.3556,1.827,452.55,160.9494,122.2029,215.8569,1.5213,120.2374
2025-05,AT,1.4581,1.7885,451.3395,161.4772,122.0099,212.1469,1.519,118.7277
2025-06,AT,1.5713,1.9385,462.0359,162.1659,124.4761,214.513,1.5193,116.7491
2025-07,AT,2.2167,2.019,474.8946,165.7802,122.6931,214.6392,1.5203,120.8315
2025-08,AT,2.626,1.7403,494.6862,168.4132,122.3124,215.2826,1.5221,118.9621
2025-09,AT,2.4563,1.855,502.3705,169.545,120.8708,218.1822,1.5259,120.4218
2025-10,AT,2.4822,1.7106,506.9235,170.3699,121.6778,220.7611,1.5262,121.9492
2025-11,AT,1.7816,2.1314,526.7153,170.4804,125.5802,256.4732,1.5262,122.7156
2025-12,AT,1.8053,2.094,529.3538,172.3763,120.5322,240.9794,1.53,123.0125
2026-01,AT,1.3018,1.9962,543.0453,172.2607,122.6478,225.0314,1.5327,125.1399
2026-02,AT,1.6515,2.3207,551.9576,172.9522,125.5698,222.1295,1.5358,126.2791
2026-03,AT,1.4123,2.0224,568.9895,175.7894,121.257,222.3492,1.5386,125.1728
2026-04,AT,1.9681,2.1806,581.1921,178.5755,123.0791,228.0186,1.539,127.2396
2026-05,AT,1.7546,1.9235,593.9239,178.7321,122.5441,229.2459,1.5406,128.0312
2026-06,AT,1.6439,1.612,595.7228,179.0211,126.6656,233.2432,1.5397,127.8117
2019-01,CZ,1.7862,1.5786,101.3264,101.5448,104.0462,101.5867,1.3104,99.7137
2019-02,CZ,1.523,1.3028,103.3205,102.8181,104.4856,105.3209,1.3108,99.6224
2019-03,CZ,1.778,1.1219,106.4141,103.1453,100.043,103.8901,1.3129,101.4628
2019-04,CZ,2.1873,1.4689,107.1801,102.9189,98.2501,102.8461,1.314,100.4265
2019-05,CZ,1.9412,1.283,110.4905,103.8515,98.6746,103.422,1.3145,100.319
2019-06,CZ,1.6767,1.2342,112.7763,103.974,99.8953,106.3615,1.3172,99.8184
2019-07,CZ,1.8897,1.3689,116.2853,103.6038,100.4685,106.5932,1.3153,101.0958
2019-08,CZ,1.3751,1.1777,116.346,105.3553,101.345,106.7155,1.3195,102.5516
2019-09,CZ,0.7099,0.8219,119.5263,106.513,101.4949,106.1806,1.3248,103.6787
2019-10,CZ,0.8841,0.7193,119.7063,108.0277,99.1619,107.1209,1.3266,103.5819
2019-11,CZ,0.422,0.5071,123.7727,109.2353,102.7908,125.0556,1.3276,103.5952
2019-12,CZ,0.5121,0.1495,127.6339,107.8774,103.6462,121.7353,1.3286,103.4487
2020-01,CZ,0.5265,0.3714,129.6713,109.6292,100.1479,112.156,1.3282,102.4767
2020-02,CZ,0.4817,0.6183,128.1882,109.6681,95.5777,111.5403,1.3293,102.1615
2020-03,CZ,-4.1739,0.3614,130.3752,110.9693,42.652,128.2665,1.3308,101.5675
2020-04,CZ,-8.9004,0.3324,145.497,111.1864,8.7607,145.6316,1.3283,103.0667
2020-05,CZ,-13.9672,0.2398,145.5729,112.3892,11.0851,156.6019,1.3328,103.4549
2020-06,CZ,-12.6249,0.1812,149.6858,112.8076,13.5704,157.8771,1.3364,104.4511
2020-07,CZ,-11.6868,0.511,152.5384,113.1322,24.1277,156.2601,1.3378,104.9863
2020-08,CZ,-9.9202,0.5423,153.5401,114.527,35.1392,155.2645,1.3368,107.2273
2020-09,CZ,-8.1357,0.3406,157.9393,115.964,29.8871,152.6437,1.3368,108.2219
2020-10,CZ,-6.5265,0.8704,162.9438,116.5249,23.1397,150.9578,1.3381,107.2376
2020-11,CZ,-4.966,0.8195,167.3409,117.1146,21.4859,179.0739,1.336,107.7882
2020-12,CZ,-3.0759,1.1562,172.2702,116.7256,19.7259,172.4716,1.3386,107.346
2021-01,CZ,-1.2111,1.0144,177.3154,117.0521,18.4242,158.4172,1.3406,107.7242
2021-02,CZ,0.8662,1.6873,180.1982,117.4004,16.6916,158.4463,1.3415,106.2305
2021-03,CZ,2.7221,1.7275,178.667,118.2539,21.8556,157.5381,1.3448,108.2673
2021-04,CZ,4.3045,2.2349,184.1976,118.9371,26.2322,162.7041,1.3407,107.6407
2021-05,CZ,6.3905,2.6305,187.6805,119.7408,30.2683,163.2659,1.3445,107.4652
2021-06,CZ,8.4978,2.9872,187.3604,120.5986,40.4115,162.4576,1.3479,108.4347
2021-07,CZ,7.8278,3.3762,195.7381,121.354,50.2745,159.6219,1.3526,110.1204
2021-08,CZ,7.2196,3.7002,201.9715,122.9833,60.5693,158.6874,1.3553,112.318
2021-09,CZ,7.0998,4.2194,206.434,122.7755,56.9046,160.9788,1.36,111.079
2021-10,CZ,6.3846,4.2177,205.1635,123.8765,55.9163,159.4854,1.3551,110.8854
2021-11,CZ,6.2546,4.8048,214.3609,126.6151,55.2919,186.1884,1.353,109.9939
2021-12,CZ,5.1219,5.3049,217.4406,125.9206,61.2614,177.0957,1.3562,109.3222
2022-01,CZ,4.7005,5.6788,222.7036,125.7756,65.4629,161.6693,1.3542,109.2746
2022-02,CZ,4.1325,6.2125,225.1631,127.5418,70.7746,166.4312,1.3535,109.7199
2022-03,CZ,3.6263,6.711,235.2399,127.8008,74.3843,164.8666,1.356,107.901
2022-04,CZ,2.7763,7.0895,235.3183,127.5873,85.768,166.0826,1.3568,108.3458
2022-05,CZ,2.2047,7.8114,240.2901,128.5156,93.8396,164.8338,1.3575,109.7858
2022-06,CZ,2.3572,8.2141,245.0506,128.8647,98.8979,165.5803,1.361,110.9336
2022-07,CZ,1.696,8.9703,250.3367,128.9632,101.2409,166.0054,1.3642,108.2948
2022-08,CZ,1.2918,9.6625,253.4577,131.0508,105.144,163.8851,1.361,108.7004
2022-09,CZ,1.2287,10.1869,257.6258,130.5684,109.4014,159.7673,1.3631,107.6679
2022-10,CZ,1.2957,10.7772,261.3786,132.8143,110.5386,165.5924,1.3658,109.5012
