fact_id,category,statement,value,unit,source
F001,Group performance,"Revenue, last 12 months",2446.64126678,EUR m,mart_market
F002,Group performance,"Revenue, prior 12 months",2174.32235318,EUR m,mart_market
F003,Group performance,Revenue growth year on year,12.524311917307362,%,mart_market
F004,Group performance,"Gross margin, last 12 months",690.6105781200001,EUR m,mart_market
F005,Group performance,"Gross margin percentage, last 12 months",28.226883421651173,%,mart_market
F006,Group performance,Gross margin percentage change year on year,0.33962060603484057,pp,mart_market
F007,Group performance,Revenue CAGR across the observed window,8.381260869498309,%,mart_market
F008,Product performance,"A2P Messaging revenue, last 12 months",781.0021118,EUR m,mart_market
F009,Product performance,A2P Messaging revenue growth year on year,21.290349707047543,%,mart_market
F010,Product performance,A2P Messaging share of group revenue,31.92139862938996,%,mart_market
F011,Product performance,"IPX Roaming & Signalling revenue, last 12 months",529.24928729,EUR m,mart_market
F012,Product performance,IPX Roaming & Signalling revenue growth year on year,13.793852325267842,%,mart_market
F013,Product performance,IPX Roaming & Signalling share of group revenue,21.631666827337533,%,mart_market
F014,Product performance,"Ethernet & Capacity Services revenue, last 12 months",424.76303433,EUR m,mart_market
F015,Product performance,Ethernet & Capacity Services revenue growth year on year,2.1912807241591894,%,mart_market
F016,Product performance,Ethernet & Capacity Services share of group revenue,17.361067194334804,%,mart_market
F017,Product performance,"IP Transit revenue, last 12 months",196.98357398,EUR m,mart_market
F018,Product performance,IP Transit revenue growth year on year,17.45293798545815,%,mart_market
F019,Product performance,IP Transit share of group revenue,8.051183336707474,%,mart_market
F020,Product performance,"Cloud Connect revenue, last 12 months",189.14947562,EUR m,mart_market
F021,Product performance,Cloud Connect revenue growth year on year,22.592399479376436,%,mart_market
F022,Product performance,Cloud Connect share of group revenue,7.7309852567367905,%,mart_market
F023,Product performance,"Voice Firewall & Anti-Fraud revenue, last 12 months",188.81375844,EUR m,mart_market
F024,Product performance,Voice Firewall & Anti-Fraud revenue growth year on year,16.641044459949402,%,mart_market
F025,Product performance,Voice Firewall & Anti-Fraud share of group revenue,7.7172637036608105,%,mart_market
F026,Product performance,"International Voice Termination revenue, last 12 months",136.68002532,EUR m,mart_market
F027,Product performance,International Voice Termination revenue growth year on year,-17.554102084361954,%,mart_market
F028,Product performance,International Voice Termination share of group revenue,5.586435051832638,%,mart_market
F029,Revenue bridge,Total volume effect on revenue year on year,439.7010255704031,EUR m,price_volume_bridge
F030,Revenue bridge,Total price effect on revenue year on year,-129.28534799518943,EUR m,price_volume_bridge
F031,Revenue bridge,Total joint volume-price effect year on year,-38.09676397521369,EUR m,price_volume_bridge
F032,Revenue bridge,International Voice Termination volume effect,-19.970817200662555,EUR m,price_volume_bridge
F033,Revenue bridge,International Voice Termination price effect,-10.38120037853154,EUR m,price_volume_bridge
F034,Revenue bridge,Ethernet & Capacity Services volume effect,45.11767584781042,EUR m,price_volume_bridge
F035,Revenue bridge,Ethernet & Capacity Services price effect,-32.48355109294222,EUR m,price_volume_bridge
F036,Revenue bridge,Voice Firewall & Anti-Fraud volume effect,32.48504886355809,EUR m,price_volume_bridge
F037,Revenue bridge,Voice Firewall & Anti-Fraud price effect,-4.620058468916609,EUR m,price_volume_bridge
F038,Revenue bridge,IP Transit volume effect,83.14799769676931,EUR m,price_volume_bridge
F039,Revenue bridge,IP Transit price effect,-36.01955460262565,EUR m,price_volume_bridge
F040,Revenue bridge,Cloud Connect volume effect,54.34865665039512,EUR m,price_volume_bridge
F041,Revenue bridge,Cloud Connect price effect,-14.413445262630635,EUR m,price_volume_bridge
F042,Revenue bridge,IPX Roaming & Signalling volume effect,135.11624804175273,EUR m,price_volume_bridge
F043,Revenue bridge,IPX Roaming & Signalling price effect,-54.987233132953484,EUR m,price_volume_bridge
F044,Revenue bridge,A2P Messaging volume effect,109.45621567077994,EUR m,price_volume_bridge
F045,Revenue bridge,A2P Messaging price effect,23.619694943410735,EUR m,price_volume_bridge
F046,Market performance,"France revenue, last 12 months",485.2375869,EUR m,mart_market
F047,Market performance,France revenue growth year on year,10.214029966305272,%,mart_market
F048,Market performance,"Germany revenue, last 12 months",457.32542391000004,EUR m,mart_market
F049,Market performance,Germany revenue growth year on year,10.989730071124962,%,mart_market
F050,Market performance,"Spain revenue, last 12 months",394.92311011000004,EUR m,mart_market
