figure,value,status
"2,446.6",2446.6,SUPPORTED
12.5,12.5,SUPPORTED
28.2,28.2,SUPPORTED
+0.3,0.3,SUPPORTED
8.4,8.4,SUPPORTED
"2,632.6",2632.6,SUPPORTED
7.6,7.6,SUPPORTED
439.7,439.7,SUPPORTED
129.3,129.3,SUPPORTED
+22.6,22.6,SUPPORTED
-17.6,-17.6,SUPPORTED
4,4.0,SUPPORTED
11.3,11.3,SUPPORTED
14.3,14.3,SUPPORTED
20.9,20.9,SUPPORTED
6.9,6.9,SUPPORTED
12.7,12.7,SUPPORTED
"2,481.6",2481.6,SUPPORTED
"2,790.9",2790.9,SUPPORTED
309.3,309.3,SUPPORTED
11.7,11.7,SUPPORTED
31.0,31.0,SUPPORTED
-10,-10.0,SUPPORTED
180.6,180.6,SUPPORTED
112.5,112.5,SUPPORTED
11,11.0,SUPPORTED
