table,column,dtype,role,non_null,distinct,example
dim_date,year_month,object,key,102,102,2019-01
dim_date,date,object,attribute,102,102,2019-01-01
dim_date,year,int64,measure,102,9,2019
dim_date,quarter,object,attribute,102,34,2019-Q1
dim_date,quarter_no,int64,measure,102,4,1
dim_date,month_no,int64,measure,102,12,1
dim_date,month_name,object,attribute,102,12,Jan
dim_date,month_label,object,attribute,102,102,Jan 2019
dim_date,days_in_month,int64,measure,102,4,31
dim_date,half_year,object,attribute,102,17,2019-H1
dim_date,is_covid_period,bool,measure,102,2,False
dim_country,country_code,object,key,13,13,DE
dim_country,country_name,object,attribute,13,13,Germany
dim_country,region,object,attribute,13,3,Western EU
dim_country,population_m,float64,measure,13,13,84.4
dim_country,gdp_per_capita_keur,float64,measure,13,13,48.9
dim_country,mobile_penetration_base,float64,measure,13,13,1.33
dim_country,market_maturity,object,attribute,13,2,Mature
dim_country,price_level_index,float64,measure,13,13,1.06
dim_country,demand_index,float64,measure,13,13,1.0
dim_country,group_footprint,bool,measure,13,2,True
dim_product,product_id,object,key,7,7,P01
dim_product,product_name,object,attribute,7,7,International Voice Termination
dim_product,product_family,object,attribute,7,5,Voice
dim_product,unit,object,attribute,7,5,minutes
dim_product,lifecycle_stage,object,attribute,7,3,Decline
dim_product,base_unit_price_eur,float64,measure,7,7,0.0185
dim_product,volume_cagr,float64,measure,7,7,-0.09
dim_product,price_cagr,float64,measure,7,7,-0.062
dim_product,base_margin,float64,measure,7,7,0.121
dim_product,margin_drift_pa,float64,measure,7,7,-0.004
dim_product,seasonality,object,attribute,7,5,voice
dim_product,covid_sensitivity,float64,measure,7,5,0.15
dim_customer,customer_id,object,key,120,120,CUS0001
dim_customer,customer_name,object,attribute,120,120,Enterprise Aggregator HU-01
dim_customer,country_code,object,key,120,13,HU
dim_customer,segment,object,attribute,120,6,Enterprise Aggregator
dim_customer,contract_type,object,attribute,120,3,Framework Agreement
dim_customer,account_size_factor,float64,measure,120,119,0.5852
dim_customer,relationship_start,object,attribute,120,78,2015-06
dim_customer,churn_month,object,attribute,120,12,
dim_customer,status,object,attribute,120,2,Active
dim_customer,is_new_business,bool,measure,120,2,False
dim_customer,customer_tier,object,attribute,120,3,Small
dim_scenario,scenario,object,attribute,3,3,Downside
dim_scenario,scenario_key,object,attribute,3,3,downside
dim_scenario,scenario_description,object,attribute,3,3,"Accelerated voice decline, aggressive tr"
dim_scenario,sort_order,int64,measure,3,3,1
fact_revenue,year_month,object,key,22636,90,2019-01
fact_revenue,customer_id,object,key,22636,120,CUS0045
fact_revenue,country_code,object,key,22636,13,AT
fact_revenue,product_id,object,key,22636,7,P01
fact_revenue,volume_units,float64,measure,22636,22636,132254730.14
fact_revenue,unit_price_eur,float64,measure,22636,21494,0.016242
fact_revenue,revenue_eur,float64,measure,22636,22635,2148125.89
fact_revenue,cost_eur,float64,measure,22636,22633,1870937.19
fact_revenue,margin_eur,float64,measure,22636,22629,277188.7
fact_revenue,margin_pct,float64,measure,22636,3619,0.129
fact_market_indicator,year_month,object,key,1170,90,2019-01
fact_market_indicator,country_code,object,key,1170,13,AT
fact_market_indicator,gdp_growth_yoy,float64,measure,1170,1156,1.8875
fact_market_indicator,cpi_yoy,float64,measure,1170,1160,1.8692
fact_market_indicator,data_traffic_index,float64,measure,1170,1170,99.7435
fact_market_indicator,ott_substitution_index,float64,measure,1170,1169,100.1707
fact_market_indicator,travel_index,float64,measure,1170,1168,101.0721
fact_market_indicator,ecommerce_index,float64,measure,1170,1169,97.9239
fact_market_indicator,mobile_penetration,float64,measure,1170,1028,1.4192
fact_market_indicator,price_pressure_index,float64,measure,1170,1168,100.1224
fact_forecast,country_code,object,key,936,13,AT
fact_forecast,product_id,object,key,936,7,P01
fact_forecast,year_month,object,key,936,12,2026-07
fact_forecast,horizon,int64,measure,936,12,1
fact_forecast,forecast_eur,float64,measure,936,923,437458.1357046013
fact_forecast,forecast_lo_eur,float64,measure,936,923,391813.4793992486
fact_forecast,forecast_hi_eur,float64,measure,936,923,497690.2829426038
fact_forecast,model,object,attribute,936,1,gradient_boosting
fact_forecast,scenario,object,attribute,936,1,Baseline
fact_scenario,country_code,object,key,2808,13,AT
fact_scenario,product_id,object,key,2808,7,P01
fact_scenario,year_month,object,key,2808,12,2026-07
fact_scenario,horizon,int64,measure,2808,12,1
fact_scenario,forecast_eur,float64,measure,2808,2767,431418.13694947
fact_scenario,forecast_lo_eur,float64,measure,2808,2767,386403.69790323556
fact_scenario,forecast_hi_eur,float64,measure,2808,2767,490818.6569650174
fact_scenario,model,object,attribute,2808,1,gradient_boosting
fact_scenario,scenario,object,attribute,2808,3,Downside
fact_scenario,scenario_key,object,attribute,2808,3,downside
fact_scenario,driver_factor,float64,measure,2808,109,0.9861929673672594
