country_code,product_id,year_month,horizon,forecast_eur,forecast_lo_eur,forecast_hi_eur,model,scenario
AT,P01,2026-07,1,437458.1357046013,391813.4793992486,497690.2829426038,gradient_boosting,Baseline
AT,P01,2026-08,2,260193.7195189851,225950.14641795176,310364.69045342464,gradient_boosting,Baseline
AT,P01,2026-09,3,262703.7901446383,233532.55309597967,312444.3173561767,gradient_boosting,Baseline
AT,P01,2026-10,4,54645.9856567396,47305.83585840644,69873.26847607923,gradient_boosting,Baseline
AT,P01,2026-11,5,62444.508233096174,50811.92824682578,84506.17555443413,gradient_boosting,Baseline
AT,P01,2026-12,6,215895.12249581327,184810.42188205133,280936.7978879083,gradient_boosting,Baseline
AT,P01,2027-01,7,149280.11264034171,120014.89350851125,200808.28135177022,gradient_boosting,Baseline
AT,P01,2027-02,8,132845.1324472663,102525.16537135263,166779.95689549673,gradient_boosting,Baseline
AT,P01,2027-03,9,129129.99420828154,100175.55761792054,166478.63428044808,gradient_boosting,Baseline
AT,P01,2027-04,10,143270.87680608162,106952.2272147765,180129.79988022975,gradient_boosting,Baseline
AT,P01,2027-05,11,245288.42192646986,184270.59393105016,322748.8823658147,gradient_boosting,Baseline
AT,P01,2027-06,12,188223.5060286668,149931.79723229838,245011.5768403239,gradient_boosting,Baseline
AT,P02,2026-07,1,4121237.48726954,3691224.9825159907,4688676.889753565,gradient_boosting,Baseline
AT,P02,2026-08,2,3785573.180907533,3287361.493902306,4515513.482236166,gradient_boosting,Baseline
AT,P02,2026-09,3,4296305.099415469,3819233.4347112537,5109770.640163427,gradient_boosting,Baseline
AT,P02,2026-10,4,3200052.637540284,2770215.6524478598,4091757.782263754,gradient_boosting,Baseline
AT,P02,2026-11,5,3446173.648138081,2804197.408067437,4663708.043204198,gradient_boosting,Baseline
AT,P02,2026-12,6,3720361.8975158967,3184702.108530291,4841177.264171715,gradient_boosting,Baseline
AT,P02,2027-01,7,3723819.045933869,2993792.9328835765,5009198.408635776,gradient_boosting,Baseline
AT,P02,2027-02,8,3772587.978246527,2911549.706205749,4736282.38239129,gradient_boosting,Baseline
AT,P02,2027-03,9,3007461.3829211276,2333107.2141344887,3877318.099095732,gradient_boosting,Baseline
AT,P02,2027-04,10,4685572.752823256,3497796.9903095225,5891017.777693138,gradient_boosting,Baseline
AT,P02,2027-05,11,4814917.566218624,3617161.0249183415,6335436.670738723,gradient_boosting,Baseline
AT,P02,2027-06,12,4905116.72546121,3907232.320763368,6385017.519055559,gradient_boosting,Baseline
AT,P03,2026-07,1,2508969.4321218147,2247181.9876492587,2854421.03975463,gradient_boosting,Baseline
AT,P03,2026-08,2,2351760.96049728,2042250.4215195363,2805231.286422074,gradient_boosting,Baseline
AT,P03,2026-09,3,2144451.3817204484,1906326.5356302997,2550483.3702485138,gradient_boosting,Baseline
AT,P03,2026-10,4,2618304.61614378,2266609.1005594204,3347903.770007456,gradient_boosting,Baseline
AT,P03,2026-11,5,2396956.9273023205,1950435.784459674,3243802.675791903,gradient_boosting,Baseline
AT,P03,2026-12,6,1682275.9020356045,1440060.87577656,2189086.995659387,gradient_boosting,Baseline
AT,P03,2027-01,7,1553854.904794371,1249233.5893118698,2090210.9958446904,gradient_boosting,Baseline
AT,P03,2027-02,8,1558003.9297619218,1202412.2194425599,1955990.584388588,gradient_boosting,Baseline
AT,P03,2027-03,9,1600931.2639093574,1241959.1827085891,2063973.2234682355,gradient_boosting,Baseline
AT,P03,2027-04,10,1761225.0841705494,1314760.8891479652,2214330.846771332,gradient_boosting,Baseline
