year_month,date,year,quarter,quarter_no,month_no,month_name,month_label,days_in_month,half_year,is_covid_period
2019-01,2019-01-01,2019,2019-Q1,1,1,Jan,Jan 2019,31,2019-H1,False
2019-02,2019-02-01,2019,2019-Q1,1,2,Feb,Feb 2019,28,2019-H1,False
2019-03,2019-03-01,2019,2019-Q1,1,3,Mar,Mar 2019,31,2019-H1,False
2019-04,2019-04-01,2019,2019-Q2,2,4,Apr,Apr 2019,30,2019-H1,False
2019-05,2019-05-01,2019,2019-Q2,2,5,May,May 2019,31,2019-H1,False
2019-06,2019-06-01,2019,2019-Q2,2,6,Jun,Jun 2019,30,2019-H1,False
2019-07,2019-07-01,2019,2019-Q3,3,7,Jul,Jul 2019,31,2019-H2,False
2019-08,2019-08-01,2019,2019-Q3,3,8,Aug,Aug 2019,31,2019-H2,False
2019-09,2019-09-01,2019,2019-Q3,3,9,Sep,Sep 2019,30,2019-H2,False
2019-10,2019-10-01,2019,2019-Q4,4,10,Oct,Oct 2019,31,2019-H2,False
2019-11,2019-11-01,2019,2019-Q4,4,11,Nov,Nov 2019,30,2019-H2,False
2019-12,2019-12-01,2019,2019-Q4,4,12,Dec,Dec 2019,31,2019-H2,False
2020-01,2020-01-01,2020,2020-Q1,1,1,Jan,Jan 2020,31,2020-H1,False
2020-02,2020-02-01,2020,2020-Q1,1,2,Feb,Feb 2020,29,2020-H1,False
2020-03,2020-03-01,2020,2020-Q1,1,3,Mar,Mar 2020,31,2020-H1,True
2020-04,2020-04-01,2020,2020-Q2,2,4,Apr,Apr 2020,30,2020-H1,True
2020-05,2020-05-01,2020,2020-Q2,2,5,May,May 2020,31,2020-H1,True
2020-06,2020-06-01,2020,2020-Q2,2,6,Jun,Jun 2020,30,2020-H1,True
2020-07,2020-07-01,2020,2020-Q3,3,7,Jul,Jul 2020,31,2020-H2,True
2020-08,2020-08-01,2020,2020-Q3,3,8,Aug,Aug 2020,31,2020-H2,True
2020-09,2020-09-01,2020,2020-Q3,3,9,Sep,Sep 2020,30,2020-H2,True
2020-10,2020-10-01,2020,2020-Q4,4,10,Oct,Oct 2020,31,2020-H2,True
2020-11,2020-11-01,2020,2020-Q4,4,11,Nov,Nov 2020,30,2020-H2,True
2020-12,2020-12-01,2020,2020-Q4,4,12,Dec,Dec 2020,31,2020-H2,True
2021-01,2021-01-01,2021,2021-Q1,1,1,Jan,Jan 2021,31,2021-H1,True
2021-02,2021-02-01,2021,2021-Q1,1,2,Feb,Feb 2021,28,2021-H1,True
2021-03,2021-03-01,2021,2021-Q1,1,3,Mar,Mar 2021,31,2021-H1,True
2021-04,2021-04-01,2021,2021-Q2,2,4,Apr,Apr 2021,30,2021-H1,True
2021-05,2021-05-01,2021,2021-Q2,2,5,May,May 2021,31,2021-H1,True
2021-06,2021-06-01,2021,2021-Q2,2,6,Jun,Jun 2021,30,2021-H1,True
2021-07,2021-07-01,2021,2021-Q3,3,7,Jul,Jul 2021,31,2021-H2,False
2021-08,2021-08-01,2021,2021-Q3,3,8,Aug,Aug 2021,31,2021-H2,False
2021-09,2021-09-01,2021,2021-Q3,3,9,Sep,Sep 2021,30,2021-H2,False
2021-10,2021-10-01,2021,2021-Q4,4,10,Oct,Oct 2021,31,2021-H2,False
2021-11,2021-11-01,2021,2021-Q4,4,11,Nov,Nov 2021,30,2021-H2,False
2021-12,2021-12-01,2021,2021-Q4,4,12,Dec,Dec 2021,31,2021-H2,False
2022-01,2022-01-01,2022,2022-Q1,1,1,Jan,Jan 2022,31,2022-H1,False
2022-02,2022-02-01,2022,2022-Q1,1,2,Feb,Feb 2022,28,2022-H1,False
2022-03,2022-03-01,2022,2022-Q1,1,3,Mar,Mar 2022,31,2022-H1,False
2022-04,2022-04-01,2022,2022-Q2,2,4,Apr,Apr 2022,30,2022-H1,False
2022-05,2022-05-01,2022,2022-Q2,2,5,May,May 2022,31,2022-H1,False
2022-06,2022-06-01,2022,2022-Q2,2,6,Jun,Jun 2022,30,2022-H1,False
2022-07,2022-07-01,2022,2022-Q3,3,7,Jul,Jul 2022,31,2022-H2,False
2022-08,2022-08-01,2022,2022-Q3,3,8,Aug,Aug 2022,31,2022-H2,False
2022-09,2022-09-01,2022,2022-Q3,3,9,Sep,Sep 2022,30,2022-H2,False
2022-10,2022-10-01,2022,2022-Q4,4,10,Oct,Oct 2022,31,2022-H2,False
2022-11,2022-11-01,2022,2022-Q4,4,11,Nov,Nov 2022,30,2022-H2,False
2022-12,2022-12-01,2022,2022-Q4,4,12,Dec,Dec 2022,31,2022-H2,False
2023-01,2023-01-01,2023,2023-Q1,1,1,Jan,Jan 2023,31,2023-H1,False
2023-02,2023-02-01,2023,2023-Q1,1,2,Feb,Feb 2023,28,2023-H1,False
2023-03,2023-03-01,2023,2023-Q1,1,3,Mar,Mar 2023,31,2023-H1,False
2023-04,2023-04-01,2023,2023-Q2,2,4,Apr,Apr 2023,30,2023-H1,False
2023-05,2023-05-01,2023,2023-Q2,2,5,May,May 2023,31,2023-H1,False
2023-06,2023-06-01,2023,2023-Q2,2,6,Jun,Jun 2023,30,2023-H1,False
2023-07,2023-07-01,2023,2023-Q3,3,7,Jul,Jul 2023,31,2023-H2,False
2023-08,2023-08-01,2023,2023-Q3,3,8,Aug,Aug 2023,31,2023-H2,False
2023-09,2023-09-01,2023,2023-Q3,3,9,Sep,Sep 2023,30,2023-H2,False
2023-10,2023-10-01,2023,2023-Q4,4,10,Oct,Oct 2023,31,2023-H2,False
2023-11,2023-11-01,2023,2023-Q4,4,11,Nov,Nov 2023,30,2023-H2,False
2023-12,2023-12-01,2023,2023-Q4,4,12,Dec,Dec 2023,31,2023-H2,False
2024-01,2024-01-01,2024,2024-Q1,1,1,Jan,Jan 2024,31,2024-H1,False
2024-02,2024-02-01,2024,2024-Q1,1,2,Feb,Feb 2024,29,2024-H1,False
2024-03,2024-03-01,2024,2024-Q1,1,3,Mar,Mar 2024,31,2024-H1,False
2024-04,2024-04-01,2024,2024-Q2,2,4,Apr,Apr 2024,30,2024-H1,False
2024-05,2024-05-01,2024,2024-Q2,2,5,May,May 2024,31,2024-H1,False
2024-06,2024-06-01,2024,2024-Q2,2,6,Jun,Jun 2024,30,2024-H1,False
2024-07,2024-07-01,2024,2024-Q3,3,7,Jul,Jul 2024,31,2024-H2,False
2024-08,2024-08-01,2024,2024-Q3,3,8,Aug,Aug 2024,31,2024-H2,False
2024-09,2024-09-01,2024,2024-Q3,3,9,Sep,Sep 2024,30,2024-H2,False
2024-10,2024-10-01,2024,2024-Q4,4,10,Oct,Oct 2024,31,2024-H2,False
2024-11,2024-11-01,2024,2024-Q4,4,11,Nov,Nov 2024,30,2024-H2,False
2024-12,2024-12-01,2024,2024-Q4,4,12,Dec,Dec 2024,31,2024-H2,False
2025-01,2025-01-01,2025,2025-Q1,1,1,Jan,Jan 2025,31,2025-H1,False
2025-02,2025-02-01,2025,2025-Q1,1,2,Feb,Feb 2025,28,2025-H1,False
2025-03,2025-03-01,2025,2025-Q1,1,3,Mar,Mar 2025,31,2025-H1,False
2025-04,2025-04-01,2025,2025-Q2,2,4,Apr,Apr 2025,30,2025-H1,False
2025-05,2025-05-01,2025,2025-Q2,2,5,May,May 2025,31,2025-H1,False
2025-06,2025-06-01,2025,2025-Q2,2,6,Jun,Jun 2025,30,2025-H1,False
2025-07,2025-07-01,2025,2025-Q3,3,7,Jul,Jul 2025,31,2025-H2,False
2025-08,2025-08-01,2025,2025-Q3,3,8,Aug,Aug 2025,31,2025-H2,False
2025-09,2025-09-01,2025,2025-Q3,3,9,Sep,Sep 2025,30,2025-H2,False
2025-10,2025-10-01,2025,2025-Q4,4,10,Oct,Oct 2025,31,2025-H2,False
2025-11,2025-11-01,2025,2025-Q4,4,11,Nov,Nov 2025,30,2025-H2,False
