year_month,customer_id,country_code,product_id,volume_units,unit_price_eur,revenue_eur,cost_eur,margin_eur,margin_pct
2019-01,CUS0045,AT,P01,132254730.14,0.016242,2148125.89,1870937.19,277188.7,0.129
2019-01,CUS0008,AT,P02,17332838.34,0.03766,652751.45,530929.35,121822.1,0.1866
2019-01,CUS0022,AT,P02,7736342.18,0.038151,295152.52,240454.52,54698.0,0.1853
2019-01,CUS0104,AT,P02,12603084.79,0.041041,517242.9,425385.1,91857.8,0.1776
2019-01,CUS0045,AT,P03,302917.58,1.613094,488634.58,357370.37,131264.21,0.2686
2019-01,CUS0081,AT,P03,35055.73,1.794146,62895.1,46400.58,16494.52,0.2623
2019-01,CUS0045,AT,P04,1145722.77,0.380519,435969.78,299251.21,136718.57,0.3136
2019-01,CUS0045,AT,P05,870555.67,0.959242,835073.39,545417.82,289655.57,0.3469
2019-01,CUS0104,AT,P05,369405.35,1.083208,400142.91,257618.69,142524.23,0.3562
2019-01,CUS0104,AT,P06,34963.16,2.366276,82732.49,48652.06,34080.43,0.4119
2019-01,CUS0008,AT,P07,863031.39,0.083504,72066.98,34828.71,37238.27,0.5167
2019-01,CUS0045,AT,P07,1810841.32,0.080981,146643.01,71742.49,74900.52,0.5108
2019-01,CUS0081,AT,P07,219819.76,0.08425,18519.86,8926.83,9593.03,0.518
2019-01,CUS0085,CZ,P03,33208.23,1.530368,50820.81,37056.64,13764.16,0.2708
2019-01,CUS0002,CZ,P04,288810.71,0.301739,87145.53,60055.74,27089.79,0.3109
2019-01,CUS0069,CZ,P05,69938.88,0.851516,59554.05,39188.57,20365.48,0.342
2019-01,CUS0118,CZ,P05,1336365.12,0.814185,1088048.76,701261.25,386787.51,0.3555
2019-01,CUS0002,CZ,P06,26164.88,1.729163,45243.33,27346.68,17896.65,0.3956
2019-01,CUS0085,CZ,P07,205564.69,0.074084,15229.02,7339.84,7889.18,0.518
2019-01,CUS0020,DE,P01,24127237.81,0.018245,440195.57,389542.94,50652.62,0.1151
2019-01,CUS0042,DE,P01,363682433.46,0.01651,6004430.36,5215974.26,788456.1,0.1313
