country_code,product_id,year_month,horizon,forecast_eur,forecast_lo_eur,forecast_hi_eur,model,scenario,scenario_key,driver_factor
AT,P01,2026-07,1,431418.13694947,386403.69790323556,490818.6569650174,gradient_boosting,Downside,downside,0.9861929673672594
AT,P01,2026-08,2,253058.31497510703,219753.81814215364,301853.4257441352,gradient_boosting,Downside,downside,0.9725765688846404
AT,P01,2026-09,3,251971.86021560067,223992.32151197616,299680.39598775515,gradient_boosting,Downside,downside,0.9591481724602113
AT,P01,2026-10,4,51689.92102697417,44746.83529355383,66093.48675879644,gradient_boosting,Downside,downside,0.9459051823434197
AT,P01,2026-11,5,58251.049694517176,47399.655167935845,78831.16659898564,gradient_boosting,Downside,downside,0.9328450386233257
AT,P01,2026-12,6,198616.00315862324,170019.15982137958,258452.082157439,gradient_boosting,Downside,downside,0.9199652167337633
AT,P01,2027-01,7,135436.35671582498,108885.09956843284,182185.96934056975,gradient_boosting,Downside,downside,0.907263226965334
AT,P01,2027-02,8,118861.4039901414,91733.01931252786,149224.13391309723,gradient_boosting,Downside,downside,0.8947366139841381
AT,P01,2027-03,9,113942.10604388529,88393.20468562687,146897.90948668277,gradient_boosting,Downside,downside,0.8823829563571512
AT,P01,2027-04,10,124674.29781041155,93069.81379970053,156748.92773354138,gradient_boosting,Downside,downside,0.870199866084154
AT,P01,2027-05,11,210502.84146089604,158138.25746655473,276978.24578405387,gradient_boosting,Downside,downside,0.8581849881361236
AT,P01,2027-06,12,159300.32919827776,126892.6775423945,207362.11789673238,gradient_boosting,Downside,downside,0.8463360000000001
AT,P02,2026-07,1,4086146.248818913,3659795.185898714,4648754.056074477,gradient_boosting,Downside,downside,0.9914852666076577
AT,P02,2026-08,2,3721381.3448100337,3231617.8164919494,4438944.073194055,gradient_boosting,Downside,downside,0.9830430339000579
AT,P02,2026-09,3,4187491.224906876,3722502.504745355,4980353.867299208,gradient_boosting,Downside,downside,0.9746726845531996
AT,P02,2026-10,4,3092446.4083278184,2677063.2908372106,3954166.7249683347,gradient_boosting,Downside,downside,0.9663736064994303
AT,P02,2026-11,5,3301934.7148025096,2686828.2664339175,4468509.442604445,gradient_boosting,Downside,downside,0.9581451928826913
AT,P02,2026-12,6,3534294.850170863,3025425.098838466,4599054.700821145,gradient_boosting,Downside,downside,0.9499868420141407
AT,P02,2027-01,7,3507457.5528247976,2819847.4481465127,4718153.748945491,gradient_boosting,Downside,downside,0.941897957328157
AT,P02,2027-02,8,3523136.7172795828,2719032.063206066,4423109.669284101,gradient_boosting,Downside,downside,0.9338779473387159
AT,P02,2027-03,9,2784687.366914303,2160285.1566946693,3590110.5129313064,gradient_boosting,Downside,downside,0.9259262255961387
AT,P02,2027-04,10,4301553.568136137,3211125.2813684177,5408202.983577749,gradient_boosting,Downside,downside,0.9180422106442098
AT,P02,2027-05,11,4382659.911266897,3292431.5730199753,5766674.90883396,gradient_boosting,Downside,downside,0.9102253259776576
AT,P02,2027-06,12,4426745.2168106055,3526179.4886809206,5762318.685509665,gradient_boosting,Downside,downside,0.9024749999999999
AT,P03,2026-07,1,2487606.226317761,2228047.832140351,2830116.405611627,gradient_boosting,Downside,downside,0.9914852666076577
AT,P03,2026-08,2,2311882.2296149605,2007620.050354237,2757663.0745957177,gradient_boosting,Downside,downside,0.9830430339000579
AT,P03,2026-09,3,2090138.1851152875,1858044.4021177848,2485886.473388411,gradient_boosting,Downside,downside,0.9746726845531996
AT,P03,2026-10,4,2530260.474816971,2190391.2110320367,3235325.8404351445,gradient_boosting,Downside,downside,0.9663736064994303
AT,P03,2026-11,5,2296632.757441585,1868800.6709064178,3108033.940470023,gradient_boosting,Downside,downside,0.9581451928826913
AT,P03,2026-12,6,1598139.971571294,1368038.883687092,2079603.8419006842,gradient_boosting,Downside,downside,0.9499868420141407
AT,P03,2027-01,7,1463572.760810156,1176650.565998572,1968765.4673709667,gradient_boosting,Downside,downside,0.941897957328157
AT,P03,2027-02,8,1454985.5118717162,1122906.2553480074,1826656.4719626699,gradient_boosting,Downside,downside,0.9338779473387159
AT,P03,2027-03,9,1482344.242630447,1149962.578389829,1911086.936537439,gradient_boosting,Downside,downside,0.9259262255961387
AT,P03,2027-04,10,1616878.9697139657,1207005.9931419448,2032849.1856676184,gradient_boosting,Downside,downside,0.9180422106442098
AT,P03,2027-05,11,1767496.104303734,1327814.6369603244,2325659.677573235,gradient_boosting,Downside,downside,0.9102253259776576
AT,P03,2027-06,12,2063401.0925813732,1643628.05023245,2685940.5927249705,gradient_boosting,Downside,downside,0.9024749999999999
AT,P04,2026-07,1,789058.458484524,706727.6039346433,897701.2779266206,gradient_boosting,Downside,downside,0.9870850541179849
AT,P04,2026-08,2,632172.3614872615,548973.4260438471,754068.8516576139,gradient_boosting,Downside,downside,0.9743369040631049
AT,P04,2026-09,3,649866.8604128826,577704.1397123772,772913.1257006687,gradient_boosting,Downside,downside,0.9617533956762796
AT,P04,2026-10,4,437909.473354411,379088.6634833729,559934.3818613599,gradient_boosting,Downside,downside,0.9493324026192761
AT,P04,2026-11,5,510779.692608141,415628.24057896703,691238.3425626229,gradient_boosting,Downside,downside,0.9370718260154047
AT,P04,2026-12,6,463023.1367322626,396356.8062650403,602515.869176709,gradient_boosting,Downside,downside,0.9249695940948546
AT,P04,2027-01,7,528617.9335601585,424986.44917130785,711085.0658700087,gradient_boosting,Downside,downside,0.9130236618446099
AT,P04,2027-02,8,499102.25176600023,385189.43040563504,626596.1763335334,gradient_boosting,Downside,downside,0.9012320106628874
AT,P04,2027-03,9,476083.22095218865,369332.4887360874,613782.1418942967,gradient_boosting,Downside,downside,0.8895926480180364
AT,P04,2027-04,10,522680.8274597555,390183.12629542185,657149.554399615,gradient_boosting,Downside,downside,0.8781036071118449
AT,P04,2027-05,11,510737.0222195817,383686.33010811574,672024.3940157448,gradient_boosting,Downside,downside,0.866762946547193
AT,P04,2027-06,12,564964.3774122915,450029.4690332167,735417.2488281847,gradient_boosting,Downside,downside,0.85556875
AT,P05,2026-07,1,1197401.3800449052,1072463.7688980158,1362267.5702911725,gradient_boosting,Downside,downside,0.9897370644864661
AT,P05,2026-08,2,1166233.2975954255,1012747.6744493443,1391108.2753028192,gradient_boosting,Downside,downside,0.9795794568182872
AT,P05,2026-09,3,1485977.350008442,1320970.9848464944,1767333.3851578769,gradient_boosting,Downside,downside,0.9695260960225786
AT,P05,2026-10,4,2067920.8823970824,1790153.9272314773,2644153.806844208,gradient_boosting,Downside,downside,0.9595759122204106
AT,P05,2026-11,5,1566134.587997606,1274384.5785950022,2119450.5038163047,gradient_boosting,Downside,downside,0.9497278465129522
AT,P05,2026-12,6,1126999.1489471733,964733.1804898881,1466524.7110145187,gradient_boosting,Downside,downside,0.9399808508687822
AT,P05,2027-01,7,779632.4335064582,626791.4850016881,1048744.1782397344,gradient_boosting,Downside,downside,0.9303338880123592
AT,P05,2027-02,8,752623.5668107772,580848.1969053888,944878.6245974301,gradient_boosting,Downside,downside,0.9207859313136332
AT,P05,2027-03,9,844286.3681785471,654974.5335315033,1088481.7456837597,gradient_boosting,Downside,downside,0.9113359646787922
AT,P05,2027-04,10,785396.9748240398,586301.67957214,987453.9966212227,gradient_boosting,Downside,downside,0.9019829824421295
AT,P05,2027-05,11,721777.2305750867,542228.2793431232,949709.7036036802,gradient_boosting,Downside,downside,0.8927259892590209
AT,P05,2027-06,12,824595.372783706,656841.7985587228,1073380.348733915,gradient_boosting,Downside,downside,0.8835639999999999
AT,P06,2026-07,1,0.04547785635482186,0.040732668293622404,0.05173955025524587,gradient_boosting,Downside,downside,0.9914852666076577
