from_table,from_column,to_table,to_column
fact_revenue,year_month,dim_date,year_month
fact_revenue,country_code,dim_country,country_code
fact_revenue,product_id,dim_product,product_id
fact_revenue,customer_id,dim_customer,customer_id
fact_forecast,year_month,dim_date,year_month
fact_forecast,country_code,dim_country,country_code
fact_forecast,product_id,dim_product,product_id
fact_scenario,year_month,dim_date,year_month
fact_scenario,country_code,dim_country,country_code
fact_scenario,product_id,dim_product,product_id
fact_scenario,scenario,dim_scenario,scenario
fact_market_indicator,year_month,dim_date,year_month
fact_market_indicator,country_code,dim_country,country_code
fact_backtest,target_year_month,dim_date,year_month
fact_backtest,country_code,dim_country,country_code
fact_backtest,product_id,dim_product,product_id
fact_kpi_snapshot,year_month,dim_date,year_month
