view_type,date,country_code,country_name,product_id,product_name,series,scenario,model,horizon,category,value,actual,abs_error,metric_order
Trend,2019-01-01,AT,Austria,P01,International Voice Termination,Actual,,,,,2148125.89,,,
Trend,2019-01-01,AT,Austria,P02,A2P Messaging,Actual,,,,,1465146.87,,,
Trend,2019-01-01,AT,Austria,P03,IPX Roaming & Signalling,Actual,,,,,551529.68,,,
Trend,2019-01-01,AT,Austria,P04,IP Transit,Actual,,,,,435969.78,,,
Trend,2019-01-01,AT,Austria,P05,Ethernet & Capacity Services,Actual,,,,,1235216.3,,,
Trend,2019-01-01,AT,Austria,P06,Cloud Connect,Actual,,,,,82732.49,,,
Trend,2019-01-01,AT,Austria,P07,Voice Firewall & Anti-Fraud,Actual,,,,,237229.85,,,
Trend,2019-01-01,CZ,Czechia,P03,IPX Roaming & Signalling,Actual,,,,,50820.81,,,
Trend,2019-01-01,CZ,Czechia,P04,IP Transit,Actual,,,,,87145.53,,,
Trend,2019-01-01,CZ,Czechia,P05,Ethernet & Capacity Services,Actual,,,,,1147602.81,,,
Trend,2019-01-01,CZ,Czechia,P06,Cloud Connect,Actual,,,,,45243.33,,,
Trend,2019-01-01,CZ,Czechia,P07,Voice Firewall & Anti-Fraud,Actual,,,,,15229.02,,,
Trend,2019-01-01,DE,Germany,P01,International Voice Termination,Actual,,,,,11289025.95,,,
Trend,2019-01-01,DE,Germany,P02,A2P Messaging,Actual,,,,,1641895.36,,,
Trend,2019-01-01,DE,Germany,P03,IPX Roaming & Signalling,Actual,,,,,2302356.51,,,
Trend,2019-01-01,DE,Germany,P04,IP Transit,Actual,,,,,2949949.84,,,
Trend,2019-01-01,DE,Germany,P05,Ethernet & Capacity Services,Actual,,,,,5734777.0,,,
Trend,2019-01-01,DE,Germany,P06,Cloud Connect,Actual,,,,,1556501.37,,,
Trend,2019-01-01,DE,Germany,P07,Voice Firewall & Anti-Fraud,Actual,,,,,364511.86,,,
Trend,2019-01-01,ES,Spain,P01,International Voice Termination,Actual,,,,,2671816.62,,,
Trend,2019-01-01,ES,Spain,P02,A2P Messaging,Actual,,,,,3172514.81,,,
Trend,2019-01-01,ES,Spain,P03,IPX Roaming & Signalling,Actual,,,,,1142021.9,,,
Trend,2019-01-01,ES,Spain,P04,IP Transit,Actual,,,,,1520953.61,,,
Trend,2019-01-01,ES,Spain,P05,Ethernet & Capacity Services,Actual,,,,,4524157.87,,,
Trend,2019-01-01,ES,Spain,P06,Cloud Connect,Actual,,,,,585639.33,,,
Trend,2019-01-01,ES,Spain,P07,Voice Firewall & Anti-Fraud,Actual,,,,,630857.38,,,
Trend,2019-01-01,FR,France,P01,International Voice Termination,Actual,,,,,5897976.27,,,
Trend,2019-01-01,FR,France,P02,A2P Messaging,Actual,,,,,3414586.2,,,
Trend,2019-01-01,FR,France,P03,IPX Roaming & Signalling,Actual,,,,,4069161.08,,,
Trend,2019-01-01,FR,France,P04,IP Transit,Actual,,,,,752347.04,,,
Trend,2019-01-01,FR,France,P05,Ethernet & Capacity Services,Actual,,,,,2878312.53,,,
Trend,2019-01-01,FR,France,P06,Cloud Connect,Actual,,,,,629716.05,,,
Trend,2019-01-01,FR,France,P07,Voice Firewall & Anti-Fraud,Actual,,,,,1255440.95,,,
Trend,2019-01-01,GR,Greece,P01,International Voice Termination,Actual,,,,,2182142.6,,,
Trend,2019-01-01,GR,Greece,P02,A2P Messaging,Actual,,,,,602315.81,,,
Trend,2019-01-01,GR,Greece,P03,IPX Roaming & Signalling,Actual,,,,,442266.4,,,
Trend,2019-01-01,GR,Greece,P04,IP Transit,Actual,,,,,266370.9,,,
Trend,2019-01-01,GR,Greece,P05,Ethernet & Capacity Services,Actual,,,,,598477.2,,,
